data,KRT-001,KRT-002,KRT-003,KRT-004,KRT-005,KRT-006,KRT-007,KRT-008,KRT-009,KRT-010,KRT-011,KRT-012,KRT-013,KRT-014,KRT-015,KRT-016,KRT-017,KRT-018,KRT-019,KRT-020,KRT-021,KRT-022,KRT-023,KRT-024,KRT-025,KRT-026,KRT-027,KRT-028,KRT-029,KRT-030,KRT-031,KRT-032,KRT-033,KRT-034,KRT-035,KRT-036,KRT-037,KRT-038,KRT-039,KRT-040,KRT-041,KRT-042,KRT-043,KRT-044,KRT-045,KRT-046,KRT-047,KRT-048,KRT-049,KRT-050,KRT-051,KRT-052,KRT-053,KRT-054,KRT-055,KRT-056,KRT-057,KRT-058,KRT-059,KRT-060,KRT-061,KRT-062,KRT-063,KRT-064,KRT-065,KRT-066,KRT-067,KRT-068,KRT-069,KRT-070,KRT-071,KRT-072,KRT-073,KRT-074,RDM-101,RDM-102,RDM-103,RDM-104,RDM-105,RDM-106,RDM-107,RDM-108,RDM-109,RDM-110,RDM-112,RDM-113,RDM-114,RDM-115,RDM-116,RDM-117,RDM-118,RDM-119,RDM-120,RDM-121,RDM-122,RDM-123,RDM-124,RDM-125,RDM-126,RDM-127,RDM-128,RDM-129,RDM-130,RDM-131,RDM-132,RDM-133
2025-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,0.0,0.25,0.51,0.25,0.75,0.0,0.25,1.02,0.51,0.76,0.0,0.0,0.25,0.51,2.54,0.0,1.02,3.0,1.02,0.76,0.0,0.76,0.76,0.76,0.51,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,12.45,3.81,5.84,6.6,6.1,3.3,0.0,12.45,6.6,25.15,0.0,10.16,1.78,0.0,5.84,1.52,0.0,10.16,0.0,2.03,6.1,2.29,4.29,1.75,0.0,2.03,6.86,4.16,0.0,0.0,0.0,3.3,0.0,14.35,0.0,5.52,0.0,3.04,2.79,15.24,3.0,0.0,2.03,2.29,3.05,4.57,4.32,10.67,7.87,0.0,4.32,0.0,5.75,4.83,9.14,0.0,10.41,4.32,8.64,7.37,0.0,9.65,6.6,0.0,1.27,0.51,1.27,2.03,2.29,3.05,0.78,0.0
2025-10-14,7.87,9.14,10.92,7.62,5.25,0.0,7.87,5.08,5.08,3.81,3.81,0.0,5.84,2.79,5.08,0.0,5.08,3.0,4.06,2.54,5.08,2.03,4.57,1.52,2.54,3.81,0.0,2.79,4.57,1.27,3.3,1.52,2.54,3.56,8.89,5.59,5.33,2.03,2.29,1.27,0.0,3.05,2.29,3.3,0.0,1.78,2.54,0.0,2.79,1.78,0.51,1.78,0.0,5.33,3.81,3.3,1.36,1.5,0.0,0.76,0.51,0.88,0.0,0.0,0.0,1.02,0.25,0.42,0.0,0.99,0.0,0.19,2.29,2.54,1.25,0.0,1.52,2.54,3.05,4.57,3.81,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0
2025-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.51,0.0,0.0,0.0,63.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,2.03,1.78,2.79,5.08,3.81,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-17,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-18,0.0,0.0,0.0,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-19,25.15,18.8,31.24,27.43,29.75,16.6,27.43,17.78,30.73,24.89,12.7,11.43,16.51,13.25,15.24,14.52,19.56,20.5,22.86,28.7,20.32,31.24,21.34,26.42,15.75,13.72,12.8,31.5,10.16,22.35,19.3,12.32,16.51,8.89,17.02,11.94,8.13,9.91,7.87,7.11,7.62,6.35,6.6,6.6,5.11,5.84,5.08,5.41,4.57,5.08,8.5,5.84,6.58,8.93,5.59,8.89,8.14,5.5,8.38,5.08,5.33,6.13,10.2,10.2,7.2,3.56,4.75,4.58,6.26,4.33,6.26,6.08,7.62,5.59,2.0,1.75,3.05,2.29,4.57,2.29,9.91,9.14,3.81,2.79,1.27,1.02,1.0,1.51,1.02,2.25,1.78,1.52,1.52,1.52,3.55,2.29,1.52,2.5,3.05,3.56,4.06,3.05,2.29,1.02,1.82,2.79
2025-10-20,4.06,3.81,4.57,1.78,2.75,2.78,2.03,3.56,4.32,1.52,2.51,3.27,2.79,2.75,4.32,3.79,3.3,2.75,2.62,2.29,2.29,2.03,1.52,1.78,3.05,2.29,2.54,2.03,2.29,1.27,2.29,2.03,1.27,2.03,2.03,3.81,3.05,3.05,4.32,2.03,2.43,1.02,2.29,3.56,2.89,3.05,2.29,2.37,2.54,1.52,1.27,2.54,3.08,3.0,2.29,5.08,1.71,1.25,1.52,1.52,1.78,1.97,1.8,1.5,1.5,1.75,1.58,1.87,1.89,2.17,2.1,2.28,2.29,3.56,2.0,2.5,2.03,2.29,2.03,2.03,2.17,2.29,2.03,2.2,2.29,3.23,2.5,2.79,2.29,2.55,2.03,3.3,3.56,4.83,5.26,4.57,6.53,4.2,5.08,5.08,4.32,4.06,3.05,2.79,2.42,5.84
