data,pluvio_id,mm,fazenda
2025-09-14,KRT-047,0.0,KRT
2025-09-14,KRT-048,0.0,KRT
2025-09-14,KRT-049,0.0,KRT
2025-09-14,KRT-050,0.0,KRT
2025-09-14,KRT-051,0.0,KRT
2025-09-14,KRT-052,0.0,KRT
2025-09-14,KRT-053,0.0,KRT
2025-09-14,KRT-054,0.0,KRT
2025-09-14,KRT-055,0.0,KRT
2025-09-14,KRT-056,0.0,KRT
2025-09-14,KRT-057,0.0,KRT
2025-09-14,KRT-058,0.0,KRT
2025-09-14,KRT-059,0.0,KRT
2025-09-14,KRT-060,0.0,KRT
2025-09-14,KRT-061,0.0,KRT
2025-09-14,KRT-062,0.0,KRT
2025-09-14,KRT-063,0.0,KRT
2025-09-14,KRT-064,0.0,KRT
2025-09-14,KRT-065,0.0,KRT
2025-09-14,KRT-066,0.0,KRT
2025-09-14,KRT-067,0.0,KRT
2025-09-14,KRT-068,0.0,KRT
2025-09-14,KRT-069,0.0,KRT
2025-09-14,KRT-070,0.0,KRT
2025-09-14,KRT-071,0.0,KRT
2025-09-14,KRT-072,0.0,KRT
2025-09-14,KRT-073,0.0,KRT
2025-09-14,KRT-074,0.0,KRT
2025-09-15,KRT-001,0.0,KRT
2025-09-15,KRT-002,0.0,KRT
2025-09-15,KRT-003,0.0,KRT
2025-09-15,KRT-004,0.0,KRT
2025-09-15,KRT-005,0.0,KRT
2025-09-15,KRT-006,0.0,KRT
2025-09-15,KRT-007,0.0,KRT
2025-09-15,KRT-008,0.0,KRT
2025-09-15,KRT-009,0.0,KRT
2025-09-15,KRT-010,0.0,KRT
2025-09-15,KRT-011,0.0,KRT
2025-09-15,KRT-012,0.0,KRT
2025-09-15,KRT-013,0.0,KRT
2025-09-15,KRT-014,0.0,KRT
2025-09-15,KRT-015,0.0,KRT
2025-09-15,KRT-016,0.0,KRT
2025-09-15,KRT-017,0.0,KRT
2025-09-15,KRT-018,0.0,KRT
2025-09-15,KRT-019,0.0,KRT
2025-09-15,KRT-020,0.0,KRT
2025-09-15,KRT-021,0.0,KRT
2025-09-15,KRT-022,0.0,KRT
2025-09-15,KRT-023,0.0,KRT
2025-09-15,KRT-024,0.0,KRT
2025-09-15,KRT-025,0.0,KRT
2025-09-15,KRT-026,0.0,KRT
2025-09-15,KRT-027,0.0,KRT
2025-09-15,KRT-028,0.0,KRT
2025-09-15,KRT-029,0.0,KRT
2025-09-15,KRT-030,0.0,KRT
2025-09-15,KRT-031,0.0,KRT
2025-09-15,KRT-032,0.0,KRT
2025-09-15,KRT-033,0.0,KRT
2025-09-15,KRT-034,0.0,KRT
2025-09-15,KRT-035,0.0,KRT
2025-09-15,KRT-036,0.0,KRT
2025-09-15,KRT-037,0.0,KRT
2025-09-15,KRT-038,0.0,KRT
2025-09-15,KRT-039,0.0,KRT
2025-09-15,KRT-040,0.0,KRT
2025-09-15,KRT-041,0.0,KRT
2025-09-15,KRT-042,0.0,KRT
2025-09-15,KRT-043,0.0,KRT
2025-09-15,KRT-044,0.0,KRT
2025-09-15,KRT-045,0.0,KRT
2025-09-15,KRT-046,0.0,KRT
2025-09-15,KRT-047,0.0,KRT
2025-09-15,KRT-048,0.0,KRT
2025-09-15,KRT-049,0.0,KRT
2025-09-15,KRT-050,0.0,KRT
2025-09-15,KRT-051,0.0,KRT
2025-09-15,KRT-052,0.0,KRT
2025-09-15,KRT-053,0.0,KRT
2025-09-15,KRT-054,0.0,KRT
2025-09-15,KRT-055,0.0,KRT
2025-09-15,KRT-056,0.0,KRT
2025-09-15,KRT-057,0.0,KRT
2025-09-15,KRT-058,0.0,KRT
2025-09-15,KRT-059,0.0,KRT
2025-09-15,KRT-060,0.0,KRT
2025-09-15,KRT-061,0.0,KRT
2025-09-15,KRT-062,0.0,KRT
2025-09-15,KRT-063,0.0,KRT
2025-09-15,KRT-064,0.0,KRT
2025-09-15,KRT-065,0.0,KRT
2025-09-15,KRT-066,0.0,KRT
2025-09-15,KRT-067,0.0,KRT
2025-09-15,KRT-068,0.0,KRT
2025-09-15,KRT-069,0.0,KRT
2025-09-15,KRT-070,0.0,KRT
2025-09-15,KRT-071,0.0,KRT
2025-09-15,KRT-072,0.0,KRT
2025-09-15,KRT-073,0.0,KRT
2025-09-15,KRT-074,0.0,KRT
2025-09-16,KRT-001,0.0,KRT
2025-09-16,KRT-002,0.0,KRT
2025-09-16,KRT-003,0.0,KRT
2025-09-16,KRT-004,0.0,KRT
2025-09-16,KRT-005,0.0,KRT
2025-09-16,KRT-006,0.0,KRT
2025-09-16,KRT-007,0.0,KRT
2025-09-16,KRT-008,0.0,KRT
2025-09-16,KRT-009,0.0,KRT
2025-09-16,KRT-010,0.0,KRT
2025-09-16,KRT-011,0.0,KRT
2025-09-16,KRT-012,0.0,KRT
2025-09-16,KRT-013,0.0,KRT
2025-09-16,KRT-014,0.0,KRT
2025-09-16,KRT-015,0.0,KRT
2025-09-16,KRT-016,0.0,KRT
2025-09-16,KRT-017,0.0,KRT
2025-09-16,KRT-018,0.0,KRT
2025-09-16,KRT-019,0.0,KRT
2025-09-16,KRT-020,0.0,KRT
2025-09-16,KRT-021,0.0,KRT
2025-09-16,KRT-022,0.0,KRT
2025-09-16,KRT-023,0.0,KRT
2025-09-16,KRT-024,0.0,KRT
2025-09-16,KRT-025,0.0,KRT
2025-09-16,KRT-026,0.0,KRT
